size_sqft,bedrooms,age_years,location_score,price_1000s
2034.9,4,30.7,8.07,528.61
2799.7,2,21.8,6.39,566.73
1776.7,5,28.9,2.81,423.52
2817.0,2,36.9,6.31,565.03
400.0,4,40.3,4.67,212.74
2334.2,2,42.2,5.23,480.17
1856.6,2,12.7,1.25,393.03
1605.6,4,1.6,2.89,407.89
1859.6,2,37.0,3.53,384.89
508.1,3,5.3,7.42,242.67
1657.2,3,15.7,1.1,325.97
2032.1,2,0.2,4.68,480.49
2760.6,5,34.1,9.32,671.52
1463.1,4,8.4,2.01,309.33
1274.5,3,32.8,5.65,307.46
1473.9,5,49.6,8.08,441.71
2395.0,2,3.6,9.48,574.61
2013.7,5,3.9,7.72,523.93
1455.7,1,17.0,7.49,418.28
2133.6,3,43.3,8.44,553.34
1863.1,2,10.8,5.02,416.36
2429.6,4,18.0,8.25,595.46
1343.7,2,3.4,1.07,290.24
1587.0,4,38.2,9.32,469.2
1545.1,2,20.4,4.99,380.27
848.7,5,38.0,5.98,333.5
1992.5,5,45.2,3.29,415.17
1969.7,5,11.6,7.68,496.3
1803.3,1,40.4,1.69,372.87
1647.5,4,3.0,8.85,529.37
880.0,5,44.9,8.45,330.61
1526.6,1,32.5,2.94,321.35
1577.2,4,43.7,8.28,473.99
1278.5,2,0.0,8.08,429.89
1695.2,1,8.5,6.69,441.48
2062.6,3,19.5,4.36,454.06
3026.0,1,19.0,3.44,605.89
1913.5,1,11.3,3.09,401.02
1967.4,4,19.1,3.87,434.59
1751.6,2,6.4,9.13,517.74
552.8,3,20.6,1.7,185.39
1782.8,5,40.1,8.46,506.34
1839.1,5,24.0,4.14,446.31
3401.1,1,0.9,5.69,686.36
1675.0,4,21.1,8.15,454.63
1996.0,4,1.4,8.96,521.31
1777.4,5,48.3,4.1,447.67
1040.4,3,6.4,5.16,336.01
2542.8,2,35.4,4.73,531.54
2288.8,3,48.6,1.12,366.56
2314.2,2,41.3,3.66,480.69
1208.9,5,35.0,5.13,342.71
2711.8,2,42.0,4.7,511.64
888.8,4,49.1,7.5,325.42
2181.5,1,31.1,4.46,420.25
3223.8,1,28.0,5.4,620.44
1156.2,5,31.4,4.87,342.48
1431.9,4,26.6,7.67,455.97
1864.8,3,31.8,8.77,535.95
1472.7,4,22.5,5.79,442.12
792.1,1,10.9,8.1,261.35
1844.6,1,6.0,3.67,376.58
1109.5,4,3.4,5.87,310.52
2107.8,4,13.2,4.11,447.73
1202.4,1,2.3,4.73,309.37
2807.5,3,28.4,7.59,631.35
1290.9,5,14.2,8.93,440.11
1590.7,5,41.2,2.09,341.0
2328.8,4,3.7,6.71,569.7
999.9,5,11.3,6.24,320.51
1947.8,1,36.5,2.07,341.19
2649.6,1,29.9,2.91,475.23
755.1,4,3.2,3.8,272.01
1920.0,4,43.9,2.5,397.88
1968.9,4,43.9,3.19,453.25
2308.2,3,16.5,3.41,503.07
996.0,5,17.0,4.02,298.93
941.7,4,49.5,7.74,332.56
2139.3,2,31.3,6.15,472.26
1993.0,2,26.6,9.88,516.62
1962.8,1,41.9,4.73,414.9
2025.2,5,14.3,7.78,496.0
1358.0,4,21.5,8.84,465.73
1951.0,2,13.4,7.11,526.27
1990.5,5,39.5,4.71,454.98
1335.7,1,28.7,7.78,372.26
3012.8,3,32.9,2.83,566.48
2108.0,5,12.6,3.95,512.65
1025.7,5,11.0,5.92,353.49
2226.8,3,24.4,6.18,535.04
1166.5,5,36.9,1.2,289.27
2311.6,1,26.3,9.51,617.88
2553.1,1,1.6,7.27,566.29
1266.6,3,43.4,5.46,290.15
2426.2,4,3.2,9.4,592.68
2068.3,2,47.8,4.95,435.44
2334.3,4,1.3,9.82,649.67
3032.9,5,34.7,5.61,621.84
1640.5,2,4.1,2.03,347.53
1310.1,3,45.5,7.88,405.1
1221.8,3,23.2,7.11,354.55
1269.7,2,6.9,7.96,386.9
1749.9,1,17.0,9.56,453.79
2021.7,2,8.2,7.99,543.92
1979.8,5,8.5,6.5,555.73
2337.7,1,47.4,8.72,492.12
1808.5,3,22.3,7.06,462.97
2744.8,2,39.4,4.67,573.46
1628.0,4,32.0,8.97,488.05
3568.1,4,33.8,3.0,647.88
2206.7,5,6.6,7.43,530.85
1242.8,4,11.7,8.93,464.7
1103.9,2,39.3,7.58,353.6
2113.6,2,48.5,7.28,446.34
1654.7,4,13.1,7.77,505.38
2264.1,2,13.6,5.19,456.08
2107.6,5,23.6,8.87,561.33
1752.7,1,49.2,2.83,329.89
1249.6,5,13.4,2.15,365.78
815.3,5,20.3,3.57,273.75
1509.8,2,44.6,5.78,362.31
2356.7,1,0.1,5.6,482.02
1939.2,2,2.0,8.39,498.21
990.3,3,30.2,4.64,273.49
1912.6,2,45.4,5.36,401.92
2050.5,2,11.9,1.12,392.34
1225.5,2,23.5,4.69,262.56
1899.9,1,22.5,6.83,414.15
1837.8,2,23.6,1.14,348.49
1057.1,1,31.1,3.53,262.19
2032.6,4,23.5,2.87,429.95
2164.5,3,22.4,1.38,416.56
2504.0,1,23.7,5.31,504.04
2485.0,4,29.5,2.64,494.09
904.5,1,26.9,7.69,325.43
1190.4,1,42.7,8.63,372.44
2134.8,3,2.5,5.91,493.4
2134.0,5,41.7,9.84,596.68
2134.8,5,42.2,5.05,491.37
4304.3,1,14.2,5.62,828.22
2171.1,2,23.1,9.9,595.22
2538.1,4,21.9,3.08,480.62
2420.1,2,10.9,9.48,577.49
2223.4,2,19.8,1.39,436.92
1595.1,1,2.2,5.02,348.18
2293.3,1,13.9,1.63,459.73
1297.7,1,40.8,7.56,351.52
1646.1,1,14.2,6.48,428.47
1484.5,5,40.9,7.36,429.51
1853.2,1,26.6,4.37,362.57
3304.5,5,44.0,4.33,674.73
586.3,5,28.7,1.41,269.06
2246.1,1,1.5,4.15,459.54
751.7,3,33.8,9.36,332.23
1493.2,4,2.2,4.41,333.4
2507.8,2,22.5,8.48,618.62
1841.8,5,46.5,8.58,526.34
1099.5,4,8.3,4.36,291.44
1335.1,3,19.5,6.69,339.42
2241.7,2,36.5,1.86,365.79
1325.3,2,44.1,1.93,288.42
1940.7,5,33.5,1.44,418.77
1829.6,1,12.9,6.23,415.16
1376.5,3,33.7,4.83,364.99
3193.6,5,14.8,5.93,687.92
2212.0,3,35.9,5.69,482.3
483.7,1,47.7,4.15,195.38
1921.2,1,36.1,7.1,418.95
1369.8,5,43.1,7.83,450.53
2354.1,1,0.1,1.13,417.18
1284.9,4,35.9,2.87,358.14
1725.4,2,41.5,7.42,408.04
2128.2,5,2.0,4.48,499.46
2362.7,3,43.6,6.96,532.33
1019.8,4,12.8,4.12,316.22
1582.6,5,33.3,4.52,414.35
1491.3,1,40.0,2.43,265.24
1375.3,1,33.1,3.32,300.69
2947.5,1,4.6,6.45,619.97
2063.2,1,29.8,4.9,422.61
980.4,3,27.5,7.97,364.62
2396.6,4,45.0,8.67,543.94
3179.4,2,20.2,5.87,632.33
2471.1,3,16.1,7.82,565.83
812.4,3,37.5,3.76,237.5
1485.2,2,20.6,4.73,401.68
2623.5,2,32.3,7.41,611.81
1340.0,1,32.3,4.48,349.47
2088.5,3,44.4,6.3,465.53
2303.5,5,29.9,2.67,502.3
1197.5,2,25.1,6.4,351.51
1761.3,2,6.9,8.75,491.35
400.0,4,5.8,8.82,310.16
1134.1,5,7.7,7.52,453.25
1635.8,5,8.6,7.71,521.46
988.9,2,31.9,6.02,323.83
2861.1,1,37.0,6.26,569.98
870.4,4,26.5,2.2,248.0
1514.0,5,41.5,4.99,407.1
1885.0,2,49.6,5.06,395.08
2736.8,5,41.0,9.63,684.46
866.7,4,34.7,4.88,265.01
2556.1,4,26.6,5.94,576.9
1806.7,3,22.4,5.8,386.19
1162.0,2,4.2,6.73,352.32
2100.4,4,20.0,7.73,588.24
1929.4,3,45.5,3.03,419.36
1409.9,3,40.4,5.76,407.2
1845.4,5,10.8,8.43,513.28
1549.5,5,23.3,5.17,419.39
1873.8,3,40.8,3.51,429.56
2230.4,5,3.4,6.89,581.75
2830.9,4,19.4,8.41,671.31
995.4,1,42.6,1.57,246.23
3186.5,4,20.2,7.99,677.64
531.1,3,3.9,8.39,309.07
1701.3,3,27.1,5.15,368.41
2182.4,4,43.1,9.85,540.81
1982.6,5,29.5,8.08,556.09
1395.2,5,11.3,7.96,430.64
1664.7,3,19.2,7.73,477.88
1479.5,2,22.5,2.36,361.79
1416.9,5,29.0,2.96,348.11
2352.2,4,38.0,5.18,526.63
2032.1,5,4.9,3.38,490.21
1349.6,4,44.5,4.74,319.59
2384.7,3,0.6,9.0,589.74
1999.7,5,18.5,8.42,521.61
2328.4,4,1.4,6.67,552.81
2209.3,3,19.6,8.72,576.59
1261.2,2,26.3,8.05,372.23
1435.9,4,25.6,4.86,379.53
2285.7,2,8.3,2.81,434.75
2196.7,2,32.3,5.63,509.64
1786.4,1,2.2,7.63,451.81
1876.3,5,38.1,4.93,487.74
2630.5,4,47.3,7.0,582.25
1415.5,2,17.0,1.85,270.84
2155.6,1,25.9,7.73,499.55
1668.6,3,18.9,8.31,444.22
1658.5,4,0.3,7.36,493.75
2514.2,2,19.3,9.71,603.86
2336.5,5,39.6,8.44,584.81
2328.8,1,29.8,9.13,542.54
2648.6,2,5.1,9.4,622.59
1813.7,5,42.4,8.21,471.64
2243.3,2,26.6,7.07,537.38
1598.3,4,42.1,1.05,318.68
2010.7,4,29.0,5.19,461.99
1715.4,4,28.0,6.14,438.5
1863.0,1,5.3,3.74,387.53
2186.9,4,8.4,3.86,481.08
1268.2,5,48.6,9.65,440.19
3160.1,2,11.4,9.03,675.47
1146.1,3,48.9,8.64,352.15
1010.8,5,26.6,4.65,358.57
2552.8,5,6.8,1.12,498.63
2314.6,4,5.0,1.72,458.42
2205.7,1,10.4,3.81,419.48
2208.4,2,46.3,1.14,410.06
1792.0,1,20.7,1.15,308.62
1216.8,2,19.8,9.25,406.81
1849.3,2,15.7,7.36,428.56
1359.8,1,7.4,3.78,348.6
2433.8,5,24.4,2.19,524.47
1704.4,2,6.5,5.6,437.46
1263.4,1,41.8,1.05,198.6
1591.1,2,18.5,9.45,488.84
2068.4,3,18.7,4.73,445.78
1433.6,5,23.7,4.62,359.98
1265.6,4,22.2,4.52,341.76
1958.4,2,49.7,1.62,347.11
1959.2,3,27.3,6.74,466.85
1470.5,4,4.4,7.6,483.63
1493.8,4,30.3,7.09,475.63
1950.8,2,7.6,2.25,366.76
858.7,1,1.5,6.21,284.13
885.1,2,48.5,6.13,281.77
1333.0,3,38.7,8.82,403.97
1661.3,4,49.0,4.41,397.39
2002.1,2,23.9,4.34,456.28
2759.0,1,26.6,6.57,591.49
2357.5,2,8.4,6.7,556.69
1696.0,5,12.3,5.22,490.03
1787.6,1,41.9,4.99,346.66
1148.4,3,17.8,5.45,379.06
1788.0,4,41.3,8.75,480.29
1612.4,2,35.5,5.15,399.83
2009.8,1,8.9,9.46,500.91
1262.3,5,25.4,5.54,355.98
2137.6,1,33.9,9.54,543.86
2796.3,5,11.8,8.5,624.74
1729.3,3,41.5,4.26,413.62
2061.1,4,27.2,8.77,574.78
2248.6,3,8.3,1.99,456.95
1539.2,2,29.1,9.33,452.96
1945.7,1,50.0,6.68,413.35
1808.2,5,7.5,1.49,418.88
1863.5,5,40.8,6.8,487.91
1297.5,1,10.4,9.77,401.13
1815.9,1,39.1,1.63,322.61
2123.7,2,36.7,5.99,467.05
2743.2,3,15.0,7.73,614.79
2423.5,5,16.3,8.29,575.69
3199.6,2,39.6,4.72,624.75
1301.2,3,23.1,2.84,307.71
2367.0,2,36.5,1.38,425.06
1919.2,5,7.4,6.22,489.42
3223.4,1,42.6,5.08,614.66
1274.6,1,35.5,9.54,401.42
1254.2,3,45.3,1.55,295.99
1410.4,4,6.6,7.17,445.31
419.5,3,29.7,1.22,142.18
1458.3,4,30.0,2.54,320.05
1306.6,2,17.7,5.08,368.97
1897.8,2,22.9,5.09,424.95
2022.1,5,1.9,7.17,536.59
3019.5,4,37.3,9.19,682.25
2417.8,5,27.5,6.75,562.18
1425.0,1,2.9,9.58,442.05
1216.0,4,34.0,8.93,462.15
2119.7,3,23.3,6.26,471.78
941.8,1,1.7,8.5,334.61
2990.4,1,48.5,6.78,628.49
2566.6,3,47.5,1.71,454.39
1495.0,1,25.6,7.67,392.45
686.5,4,4.7,1.85,256.47
2680.0,5,37.7,6.35,560.55
1725.5,1,24.6,7.32,453.52
2604.6,4,15.1,1.6,506.51
763.6,2,24.6,3.08,235.9
1410.4,4,26.1,9.24,466.15
1803.4,5,28.1,6.55,460.15
1830.5,4,22.1,3.22,439.11
1507.5,3,30.3,7.22,404.03
2204.9,5,45.9,6.37,528.88
1106.0,2,18.1,5.51,355.61
1707.5,3,36.3,9.79,523.7
1878.2,4,44.7,7.15,465.99
2134.4,5,22.8,4.38,502.32
2262.5,2,22.2,8.2,534.27
1069.0,3,30.1,8.96,446.16
802.8,2,29.6,2.13,228.56
2630.5,4,40.3,2.8,512.9
2016.0,2,23.8,2.95,418.18
1313.5,1,49.8,7.22,359.33
2808.2,3,3.0,6.43,631.47
1875.2,2,0.2,6.57,467.43
2566.5,4,32.0,9.47,617.92
1843.9,4,14.9,7.98,502.55
3139.5,2,12.0,2.15,545.54
2941.0,4,15.6,4.13,618.92
1638.2,5,12.8,4.92,413.98
2431.5,5,1.5,4.56,529.14
2219.5,5,48.6,7.02,530.13
2689.6,1,11.0,9.03,615.85
1172.8,2,36.7,3.75,294.38
2245.9,1,38.1,5.97,461.59
2488.0,4,46.5,8.1,570.1
656.8,1,1.5,4.75,262.03
1030.9,4,43.6,2.51,278.77
474.5,4,26.4,5.27,257.77
1624.9,3,31.6,1.5,332.23
2266.4,5,32.2,9.48,599.07
2776.5,4,41.0,1.67,517.57
1848.2,3,16.7,4.95,422.52
2858.6,5,36.7,5.77,650.16
902.9,4,26.4,9.87,423.21
692.8,4,39.7,2.49,234.94
1763.9,1,49.5,2.03,312.85
2049.6,1,10.0,1.08,394.31
1778.7,5,49.7,2.4,404.69
456.2,4,4.5,2.87,183.83
1742.1,2,0.1,6.68,497.74
952.1,1,2.2,2.98,213.16
2235.3,5,17.1,1.18,470.56
2038.3,4,31.6,8.44,566.67
1189.1,4,3.5,4.29,348.0
1466.0,2,0.3,4.18,365.21
1111.5,5,46.9,3.72,322.94
1759.3,4,41.1,9.78,551.32
2420.8,1,40.5,2.53,431.29
1159.3,2,44.2,9.08,356.51
2127.6,5,35.0,7.99,534.39
1455.3,2,5.2,1.69,279.7
1284.6,1,20.0,9.88,439.02
1730.4,5,36.2,3.44,389.75
1127.1,2,14.0,1.89,260.61
1440.1,3,34.4,8.46,449.61
1021.4,1,1.2,7.36,337.29
3077.1,1,15.3,6.55,648.28
1822.9,1,27.5,2.4,330.79
1345.2,3,31.6,5.31,381.98
1939.1,3,28.9,8.03,506.78
1727.0,4,34.9,3.73,394.11
1656.4,2,0.3,3.81,393.98
2199.2,4,5.0,1.03,410.18
2292.4,2,43.4,2.57,432.03
1455.2,3,34.1,8.88,433.28
1425.7,3,5.6,4.98,353.42
1621.2,4,42.1,9.86,468.17
400.0,5,12.1,4.56,239.18
815.1,4,23.9,7.44,319.82
2688.5,2,7.3,3.54,474.83
2869.2,4,35.5,4.27,603.83
1638.1,1,33.3,2.72,326.39
2174.8,2,10.6,4.12,409.15
2002.3,2,43.2,5.93,499.84
3801.3,5,20.1,9.93,873.84
2527.7,3,14.6,6.98,570.33
1716.9,2,7.6,2.79,354.65
1178.9,3,13.3,1.4,287.55
755.8,4,1.1,2.14,254.02
1932.3,1,29.2,6.06,451.19
1308.4,5,42.1,7.89,393.53
875.5,3,27.4,9.46,393.16
1379.7,2,11.0,1.14,280.91
1097.0,3,1.7,5.7,368.91
2896.6,2,10.7,5.24,574.27
2373.1,3,20.8,6.9,615.8
1794.8,2,38.0,6.04,438.88
2762.0,4,9.4,7.18,706.19
1850.3,2,36.0,6.92,468.05
1240.2,2,43.3,2.05,248.27
2790.0,1,22.7,8.2,630.64
2150.3,2,41.1,2.11,424.16
1125.8,1,27.7,7.29,349.18
1676.3,5,31.9,4.75,437.13
1230.8,1,26.3,5.62,345.86
901.2,4,23.2,9.13,354.14
2402.0,1,11.7,9.01,548.46
3041.1,5,15.2,8.36,684.68
890.9,4,14.5,5.59,323.87
2165.9,3,28.2,7.63,520.05
1377.1,3,6.0,5.62,364.46
1483.4,1,45.8,8.83,426.09
1414.9,1,36.0,4.62,335.74
1238.4,5,20.1,9.73,459.1
1831.5,5,7.9,9.39,540.97
1259.9,2,44.1,7.67,356.39
1975.8,5,41.2,3.51,415.65
1767.3,2,36.1,2.18,372.9
1644.7,4,13.6,8.69,472.72
1210.1,1,20.1,2.49,277.43
1425.1,4,5.1,8.69,505.6
2291.0,5,9.5,5.42,535.29
2125.6,4,39.2,4.66,493.4
1164.6,4,35.8,9.13,422.62
1864.6,4,29.7,6.43,477.56
2288.4,5,44.8,6.19,539.6
714.9,4,29.2,6.03,288.05
2153.2,2,23.3,4.34,457.3
1369.3,5,17.0,8.07,433.35
2170.9,4,47.0,3.28,446.01
1303.9,5,4.1,9.45,457.74
626.8,3,46.5,9.05,330.76
742.1,2,41.3,4.04,182.43
1831.3,4,6.5,7.57,515.69
1968.8,3,28.2,6.16,478.0
1212.2,3,43.3,4.04,312.02
2215.1,5,28.6,9.9,623.14
720.0,3,45.4,1.23,172.65
1757.0,2,47.1,3.27,365.15
1012.8,2,21.1,5.68,268.37
1376.3,1,18.9,5.7,345.53
1830.8,2,46.8,6.3,445.97
1240.7,3,33.8,7.77,351.4
1550.0,2,5.8,6.61,424.86
2454.1,5,2.1,6.4,574.73
1425.0,1,28.2,1.48,277.06
2343.2,3,46.5,4.39,463.83
1065.7,1,42.2,3.09,212.5
2144.4,3,33.8,3.39,451.26
2737.0,5,7.0,5.99,621.55
400.0,1,12.7,2.8,177.47
1282.0,4,43.8,3.65,340.76
2175.1,3,9.1,3.13,491.99
1668.0,4,13.9,9.54,512.06
2041.2,1,6.5,9.5,565.75
1407.4,4,33.8,6.49,374.48
1856.3,4,47.2,9.32,529.18
1698.8,1,13.4,8.07,462.85
2559.1,5,23.8,6.31,594.24
1965.4,4,31.7,1.06,397.59
2019.4,4,50.0,7.95,480.07
1532.3,5,5.2,7.32,437.53
1483.1,4,24.9,6.54,460.93
1518.8,4,19.3,7.84,447.39
2056.4,4,43.3,5.62,468.34
1526.4,2,23.8,7.34,388.42
1988.4,5,5.5,9.42,536.27
3149.0,4,31.7,4.38,621.65
2366.2,5,38.5,7.37,558.28
1588.1,3,0.1,5.28,419.2
2580.8,3,42.9,7.07,568.19
1534.8,4,9.3,7.87,524.6
475.2,5,27.6,1.41,176.1
1144.7,5,20.8,6.82,427.33
584.0,5,36.0,3.04,264.59
1571.5,2,18.6,7.03,440.27
1812.0,3,43.5,5.21,411.0
2889.7,5,36.5,7.96,623.51
2012.5,5,32.4,2.11,435.91
1657.6,2,39.8,6.64,435.72
2339.1,2,37.7,3.51,501.51
400.0,5,1.8,8.68,301.0
1953.1,1,19.7,9.36,501.49
2301.1,5,46.5,9.97,573.75
838.9,5,6.3,8.16,361.93
2543.4,2,36.9,7.78,582.75
2020.0,2,48.7,2.94,373.95
1530.1,5,2.6,4.02,389.25
2211.3,5,34.1,5.19,527.77
3276.0,5,23.4,7.96,737.22
1918.2,2,29.0,9.23,513.54
1961.3,5,4.3,2.7,433.11
1501.4,5,2.2,9.3,533.24
1247.6,4,33.3,7.26,389.52
2339.7,1,41.2,6.5,556.47
1243.5,3,39.1,2.8,295.65
1846.5,1,27.2,1.5,285.89
1489.5,4,5.0,6.12,368.08
2111.3,3,34.4,6.86,514.32
2016.9,5,12.1,2.9,487.52
2474.4,4,45.6,6.01,521.27
1468.5,5,41.9,8.71,506.02
1624.6,2,35.5,8.52,484.17
1163.8,4,47.4,9.35,408.11
1511.2,2,1.6,4.29,390.18
2045.2,4,36.8,3.86,467.23
2292.0,4,16.5,7.74,615.25
1200.6,2,45.3,4.88,322.74
2365.2,3,13.3,1.79,467.0
2681.2,1,36.2,3.55,515.8
2068.7,5,43.9,4.77,484.45
3019.9,4,2.1,3.63,637.82
1297.0,5,19.9,3.99,321.22
991.0,2,38.1,3.64,265.64
643.8,5,22.7,1.37,224.61
2772.4,2,13.4,6.73,598.56
2225.3,5,11.0,6.38,569.37
1763.9,1,6.6,6.88,493.2
1982.0,1,42.9,2.73,377.62
1068.4,1,28.8,3.66,282.44
3389.7,1,3.8,6.58,725.94
1884.0,1,19.1,6.4,448.47
1871.1,1,18.4,5.56,405.77
2271.7,2,9.1,4.15,497.65
2112.7,4,21.8,9.22,508.33
1945.5,5,16.6,4.06,404.13
1286.2,1,17.1,5.1,341.39
2106.5,2,37.0,7.1,429.64
3023.3,2,11.2,5.89,591.66
2674.5,2,32.1,4.12,514.2
2835.6,4,28.5,4.92,571.05
1467.7,5,28.4,8.15,450.44
1156.8,4,33.2,3.5,335.87
1718.2,3,27.4,2.28,368.81
1836.2,2,44.0,3.82,362.01
2511.2,3,33.8,8.65,625.15
699.9,1,27.3,1.8,141.8
2794.2,1,41.5,9.93,632.14
1697.3,4,30.3,5.87,395.49
1522.5,5,14.6,9.86,510.59
1142.1,3,10.4,9.45,411.19
724.3,5,7.6,5.08,330.97
2335.1,4,45.0,2.79,480.45
1847.7,1,35.5,2.48,340.78
961.5,5,46.9,3.16,254.14
958.2,5,30.2,7.39,354.76
1581.7,1,23.7,3.46,389.43
2884.9,3,3.0,4.07,630.13
1631.3,1,33.6,5.04,346.32
823.0,5,29.1,9.22,396.1
1640.3,3,49.5,2.7,297.83
1622.7,3,12.0,1.05,327.47
400.0,1,26.5,1.54,105.32
1764.7,5,32.5,9.14,539.97
1649.9,4,32.2,6.83,410.33
2252.5,5,28.1,3.46,498.39
3001.8,2,38.8,2.59,539.92
2532.3,4,10.2,3.65,530.93
1625.2,3,36.3,2.03,379.14
1080.8,4,31.0,9.47,449.85
3472.7,3,44.8,8.06,712.49
1838.5,3,42.4,5.16,412.15
1809.1,4,15.8,8.78,477.2
1784.3,3,13.8,3.25,400.9
1928.8,3,49.1,7.45,519.05
1706.2,2,26.4,8.71,462.31
1427.1,5,45.3,4.21,381.83
1444.5,5,8.2,7.82,425.9
1778.7,2,32.1,3.66,370.03
1446.8,4,40.5,3.69,360.6
1336.7,1,47.4,1.96,262.59
1869.2,1,16.9,4.96,438.79
1634.3,1,36.2,7.57,399.29
2777.6,2,26.9,9.46,595.65
400.0,2,3.0,6.43,275.44
2509.5,3,34.5,8.77,569.25
2610.0,1,34.5,8.4,589.8
452.3,4,46.5,2.56,185.97
1577.3,4,24.9,5.37,369.8
1558.6,1,11.5,2.05,349.74
885.1,1,2.2,7.14,307.33
1294.4,1,20.8,9.55,412.8
1078.1,2,15.1,2.23,254.9
2939.0,2,38.1,7.6,661.86
2408.2,2,17.7,6.69,575.07
2626.5,5,47.5,6.25,533.25
2269.1,4,48.1,4.51,537.54
1066.1,4,31.0,4.2,291.65
1459.1,3,46.4,1.41,345.6
2118.1,2,38.0,2.96,408.18
1005.6,5,27.3,1.14,250.9
2263.4,5,9.0,6.23,548.31
1643.8,4,22.9,1.95,351.35
1556.4,2,28.0,8.86,507.56
2262.1,3,43.2,5.71,491.6
2088.8,2,24.1,7.3,491.85
1565.4,1,44.9,4.7,347.38
2553.6,2,33.7,6.05,514.69
1097.3,1,6.8,9.48,431.76
2200.4,1,49.7,1.74,346.88
2185.5,3,26.4,3.29,436.53
1598.8,4,19.6,8.02,489.92
2012.0,2,33.0,1.89,384.49
986.8,1,5.4,1.68,249.65
2400.6,2,31.8,4.25,523.53
1679.8,4,24.9,1.83,388.07
1460.2,4,20.3,6.27,416.99
2481.9,5,47.7,3.04,551.05
1342.2,4,26.1,9.06,425.82
884.5,3,11.0,8.05,352.33
788.2,1,22.9,7.3,292.46
2193.9,5,46.0,6.55,517.69
967.7,3,8.8,8.77,355.27
2940.6,2,10.7,3.01,521.08
446.7,1,0.7,8.86,298.36
2902.7,4,0.7,8.11,662.9
1937.2,1,41.5,7.73,506.3
1737.1,2,36.6,6.05,412.4
1445.8,5,17.8,3.22,364.27
2059.4,5,34.9,4.81,504.96
1775.5,5,19.8,8.14,517.14
2517.1,4,47.6,1.29,456.22
1874.2,3,48.4,8.04,457.13
1897.7,3,19.6,3.16,503.28
1563.7,1,42.7,2.3,312.8
1763.0,4,38.7,2.04,395.38
2000.1,5,15.5,1.25,394.45
688.4,5,11.6,5.71,292.35
923.7,2,22.9,2.96,300.39
2283.1,2,39.1,9.9,598.43
1911.1,5,48.0,6.17,480.75
1680.4,5,38.2,2.24,362.32
1812.0,4,42.8,7.2,459.32
2025.9,3,30.2,9.08,512.3
1449.2,2,41.8,7.71,367.75
1294.1,3,39.2,1.69,302.22
1927.3,4,18.8,9.06,548.62
1164.1,5,27.6,8.15,427.55
2065.4,3,40.2,2.42,398.84
693.3,5,2.3,1.47,244.94
2469.0,5,40.4,6.02,545.5
2107.2,1,8.9,2.4,396.06
1966.4,3,25.7,8.51,555.26
2438.7,3,40.4,4.23,498.57
